group,sub,symbol,amt_1d,chg_1d,amt_5d,chg_5d,amt_20d,chg_20d,amt_60d,chg_60d,amt_1y,chg_1y,amt_ytd,ytd
電子–電子零組件,電子上游-PCB-製造,台虹,6.18,1.92,64.23825,-2.35,459.67468,-11.49,1027.21568,26.64,1484.73827,104.07,64.23825,-2.35
電子–半導體,電子上游-IC-封測,力成,35.4,-1.23,265.26995,17.34,584.58182,26.48,1284.78007,32.25,2623.54547,85.88,265.26995,17.34
電子–半導體,電子上游-IC-封測,華泰,13.1,0.35,62.45619,0.89,276.98173,21.51,523.75359,13.91,1095.53927,86.41,62.45619,0.89
電子–電腦及週邊設備,電子下游-筆記型電腦,華碩,36.7,0,141.57399,-3.28,719.18216,-11.07,1594.43439,-23.96,6239.05082,-8.53,141.57399,-3.28
電子–半導體,電子上游-IC-半導體設備,家登,10.1,-1.09,123.15083,16.15,219.2288,23.02,359.58501,25.06,1070.98277,-9.39,123.15083,16.15
電子–電子零組件,電子上游-PCB-材料設備,鉅橡,19.8,9.96,22.66497,0.39,172.30703,45.45,219.93018,81.56,302.85931,158.19,22.66497,0.39
生技醫療,傳產-生技,藥華藥,5.87,-1.16,61.54492,10.21,168.14958,1.17,539.09749,-0.96,2886.70624,-18.4,61.54492,10.21
電子–其他電子,傳產-其他,光洋科,5.38,1.94,41.11666,-6.92,268.15852,3.17,411.82624,-0.64,1259.68305,14.54,41.11666,-6.92
電子–電子零組件,電子中游-二次電池,AES-KY,10.3,0.4,76.68908,-5.26,382.63624,-2.7,1665.048,12,5442.53001,12.86,76.68908,-5.26
電子–半導體,電子上游-IC-封測,超豐,16.8,4.34,51.89668,-1.57,306.75586,20.83,386.93901,35.39,492.59041,53.36,51.89668,-1.57
電子–半導體,電子上游-記憶體IC設計,鈺創,4.28,-2.91,112.77629,21.65,232.53751,48.02,450.30161,61.57,709.7727,90.74,112.77629,21.65
電機機械,傳產-電機,華城,54.8,7.35,113.67019,-3.92,815.46019,0.68,2025.37697,32.43,6702.83303,69.36,113.67019,-3.92
電子–電子零組件,電子中游-金屬製品,川湖,31.1,4.91,221.74584,-15.87,531.9607,-9.86,1906.49697,-15.19,5795.96649,127.85,221.74584,-15.87
